date,home_team,away_team,team,minute
1962-06-06,Chile,Germany,Germany,21.0
1962-06-07,Czechoslovakia,Mexico,Mexico,90.0
1962-06-13,Chile,Brazil,Chile,61.0
1962-06-13,Czechoslovakia,Yugoslavia,Czechoslovakia,84.0
1962-10-03,England,France,England,57.0
1962-11-04,Yugoslavia,Belgium,Yugoslavia,32.0
1962-11-21,German DR,Czechoslovakia,German DR,80.0
1963-03-20,Wales,Hungary,Wales,23.0
1963-03-20,Wales,Hungary,Hungary,77.0
1963-03-23,Guatemala,Panama,Panama,73.0
1963-03-27,Guatemala,Nicaragua,Guatemala,14.0
1963-03-28,Costa Rica,Curaçao,Costa Rica,38.0
1963-03-28,Jamaica,Mexico,Mexico,35.0
1963-06-29,Denmark,Albania,Denmark,18.0
1963-10-13,Republic of Ireland,Austria,Republic of Ireland,89.0
1963-11-03,Hungary,German DR,Hungary,51.0
1963-12-01,Ghana,Sudan,Ghana,62.0
1964-05-24,Netherlands,Albania,Netherlands,48.0
1964-05-29,Israel,India,Israel,29.0
1964-06-20,Hungary,Denmark,Hungary,107.0
1964-10-14,Northern Ireland,Switzerland,Northern Ireland,64.0
1965-02-21,Costa Rica,Trinidad and Tobago,Costa Rica,28.0
1965-04-08,Costa Rica,El Salvador,Costa Rica,63.0
1965-05-02,Romania,Turkey,Romania,72.0
1965-05-02,Switzerland,Albania,Switzerland,10.0
1965-05-07,Northern Ireland,Albania,Northern Ireland,61.0
1965-05-09,Belgium,Israel,Belgium,24.0
1965-08-07,Colombia,Chile,Colombia,67.0
1965-08-22,Chile,Ecuador,Chile,10.0
1965-09-05,Hungary,Austria,Hungary,70.0
1965-11-12,DR Congo,Ghana,DR Congo,45.0
1965-11-19,Ethiopia,Senegal,Ethiopia,12.0
1965-11-21,Korea DPR,Australia,Australia,70.0
1966-07-12,Germany,Switzerland,Germany,77.0
1966-07-15,Brazil,Hungary,Hungary,73.0
1966-07-15,Chile,Korea DPR,Chile,26.0
1966-07-15,France,Uruguay,France,15.0
1966-07-23,Korea DPR,Portugal,Portugal,43.0
1966-07-23,Korea DPR,Portugal,Portugal,59.0
1966-07-26,England,Portugal,Portugal,82.0
1966-07-28,Portugal,Russia,Portugal,12.0
1966-09-21,Hungary,Denmark,Hungary,9.0
1966-11-30,Chile,Colombia,Chile,40.0
1966-12-21,Ecuador,Paraguay,Paraguay,85.0
1967-01-18,Argentina,Paraguay,Argentina,89.0
1967-03-08,Haiti,Trinidad and Tobago,Haiti,33.0
1967-03-08,Haiti,Trinidad and Tobago,Trinidad and Tobago,52.0
1967-04-08,Germany,Albania,Germany,80.0
1967-05-10,Hungary,Netherlands,Hungary,8.0
1967-06-04,Denmark,German DR,Denmark,65.0
1967-07-16,Russia,Greece,Russia,72.0
1967-09-06,Finland,Russia,Finland,18.0
1967-09-06,Finland,Russia,Russia,56.0
1967-10-04,Denmark,Netherlands,Denmark,43.0
1967-10-04,Greece,Austria,Greece,34.0
1967-10-11,German DR,Denmark,German DR,35.0
1967-10-21,Wales,England,England,90.0
1967-11-05,Sweden,Norway,Norway,57.0
1967-11-08,Switzerland,Cyprus,Switzerland,56.0
1967-11-18,Switzerland,Italy,Italy,85.0
1967-11-22,Czechoslovakia,Republic of Ireland,Republic of Ireland,86.0
1968-01-12,Congo,DR Congo,DR Congo,27.0
1968-01-12,Ethiopia,Uganda,Ethiopia,
1968-01-14,DR Congo,Ghana,Ghana,17.0
1968-01-16,Ethiopia,Algeria,Ethiopia,27.0
1968-01-19,Ghana,Ivory Coast,Ivory Coast,
1968-04-06,Bulgaria,Italy,Bulgaria,11.0
1968-05-19,Austria,Cyprus,Austria,4.0
1968-05-19,Austria,Cyprus,Austria,76.0
1968-10-09,Belgium,Finland,Belgium,16.0
1968-10-09,Belgium,Finland,Finland,88.0
1968-10-27,Bulgaria,Netherlands,Bulgaria,45.0
1968-11-17,Algeria,Tunisia,Algeria,29.0
1969-04-23,Bulgaria,Luxembourg,Bulgaria,49.0
1969-04-23,Bulgaria,Luxembourg,Luxembourg,50.0
1969-10-10,Luxembourg,Poland,Poland,54.0
1969-10-15,Republic of Ireland,Denmark,Denmark,84.0
1969-10-15,Sweden,France,Sweden,32.0
1969-11-01,France,Sweden,France,41.0
1969-11-08,Nigeria,Morocco,Nigeria,67.0
1969-12-03,Czechoslovakia,Hungary,Czechoslovakia,44.0
1969-12-03,Czechoslovakia,Hungary,Hungary,90.0
1969-12-04,Costa Rica,Trinidad and Tobago,Costa Rica,85.0
